"","mpg","cyl","eng","wgt"
"1",18,8,307,3504
"2",15,8,350,3693
"3",18,8,318,3436
"4",16,8,304,3433
"5",17,8,302,3449
"6",15,8,429,4341
"7",14,8,454,4354
"8",14,8,440,4312
"9",14,8,455,4425
"10",15,8,390,3850
"11",15,8,383,3563
"12",14,8,340,3609
"13",15,8,400,3761
"14",14,8,455,3086
"15",24,4,113,2372
"16",22,6,198,2833
"17",18,6,199,2774
"18",21,6,200,2587
"19",27,4,97,2130
"20",26,4,97,1835
"21",25,4,110,2672
"22",24,4,107,2430
"23",25,4,104,2375
"24",26,4,121,2234
"25",21,6,199,2648
"26",10,8,360,4615
"27",10,8,307,4376
"28",11,8,318,4382
"29",9,8,304,4732
"30",27,4,97,2130
"31",28,4,140,2264
"32",25,4,113,2228
"33",19,6,232,2634
"34",16,6,225,3439
"35",17,6,250,3329
"36",19,6,250,3302
"37",18,6,232,3288
"38",14,8,350,4209
"39",14,8,400,4464
"40",14,8,351,4154
"41",14,8,318,4096
"42",12,8,383,4955
"43",13,8,400,4746
"44",13,8,400,5140
"45",18,6,258,2962
"46",22,4,140,2408
"47",19,6,250,3282
"48",18,6,250,3139
"49",23,4,122,2220
"50",28,4,116,2123
"51",30,4,79,2074
"52",30,4,88,2065
"53",31,4,71,1773
"54",35,4,72,1613
"55",27,4,97,1834
"56",26,4,91,1955
"57",24,4,113,2278
"58",25,4,97.5,2126
"59",23,4,97,2254
"60",20,4,140,2408
"61",21,4,122,2226
"62",13,8,350,4274
"63",14,8,400,4385
"64",15,8,318,4135
"65",14,8,351,4129
"66",17,8,304,3672
"67",11,8,429,4633
"68",13,8,350,4502
"69",12,8,350,4456
"70",13,8,400,4422
"71",19,3,70,2330
"72",15,8,304,3892
"73",13,8,307,4098
"74",13,8,302,4294
"75",14,8,318,4077
"76",18,4,121,2933
"77",22,4,121,2511
"78",21,4,120,2979
"79",26,4,96,2189
"80",22,4,122,2395
"81",28,4,97,2288
"82",23,4,120,2506
"83",28,4,98,2164
"84",27,4,97,2100
"85",13,8,350,4100
"86",14,8,304,3672
"87",13,8,350,3988
"88",14,8,302,4042
"89",15,8,318,3777
"90",12,8,429,4952
"91",13,8,400,4464
"92",13,8,351,4363
"93",14,8,318,4237
"94",13,8,440,4735
"95",12,8,455,4951
"96",13,8,360,3821
"97",18,6,225,3121
"98",16,6,250,3278
"99",18,6,232,2945
"100",18,6,250,3021
"101",23,6,198,2904
"102",26,4,97,1950
"103",11,8,400,4997
"104",12,8,400,4906
"105",13,8,360,4654
