name,rating,reviews,service
TCS,3.3,(1.2L),IT Services & Consulting | Bengaluru +448 other locations
Accenture,3.7,(74.7k),IT Services & Consulting | Bengaluru +261 other locations
Wipro,3.6,(66k),IT Services & Consulting | Hyderabad +375 other locations
Cognizant,3.7,(62.3k),IT Services & Consulting | Hyderabad +233 other locations
Capgemini,3.6,(54.4k),IT Services & Consulting | Bengaluru +186 other locations
HDFC Bank,3.8,(53.4k),Banking | Mumbai +1857 other locations
Infosys,3.5,(49.6k),IT Services & Consulting | Bengaluru +247 other locations
HCLTech,3.4,(46.7k),IT Services & Consulting | Chennai +231 other locations
ICICI Bank,3.9,(46.5k),Banking | Mumbai +1446 other locations
Tech Mahindra,3.3,(44k),IT Services & Consulting | Hyderabad +323 other locations
Genpact,3.6,(43.1k),Analytics & KPO | Hyderabad +181 other locations
TP,3.9,(39.3k),BPO | Mumbai +258 other locations
Jio,4.4,(33.9k),Telecom | Mumbai +1965 other locations
Axis Bank,3.6,(33.9k),Banking | Mumbai +1530 other locations
Concentrix Corporation,3.6,(32.7k),BPO | Bengaluru +185 other locations
Amazon,3.9,(31.9k),Internet | Bengaluru +520 other locations
Reliance Retail,3.9,(27.7k),Retail | Mumbai +1166 other locations
iEnergizer,4.6,(27.3k),BPO | Noida +53 other locations
LTIMindtree,3.6,(26.9k),IT Services & Consulting | Bengaluru +145 other locations
HDB Financial Services,3.9,(26.1k),NBFC | Mumbai +1098 other locations
IBM,3.9,(26.1k),IT Services & Consulting | Bengaluru +162 other locations
Larsen & Toubro Limited,3.9,(24.2k),Engineering & Construction | Mumbai +776 other locations
Deloitte,3.6,(23.7k),Management Consulting | Hyderabad +186 other locations
Kotak Mahindra Bank,3.6,(22.8k),Banking | Mumbai +693 other locations
Reliance Industries,4.0,(20.5k),Oil & Gas | Jamnagar +822 other locations
Vodafone Idea,3.9,(17.8k),Telecom | Pune +707 other locations
Bharti Airtel,3.8,(17.3k),Telecom | Gurugram +797 other locations
BYJU'S,3.2,(16.4k),EdTech | Bengaluru +321 other locations
WNS,3.3,(15.5k),IT Services & Consulting | Pune +66 other locations
IDFC FIRST Bank,3.9,(15.1k),Banking | Mumbai +742 other locations
Ernst & Young,3.4,(14.9k),Management Consulting | Bengaluru +135 other locations
IndusInd Bank,3.4,(14.5k),Banking | Mumbai +803 other locations
AU Small Finance Bank,3.8,(14.5k),Banking | Jaipur +806 other locations
Tata Motors,4.1,(14.3k),Automobile | Pune +507 other locations
Bajaj Finserv,3.9,(13.4k),NBFC | Pune +1214 other locations
Muthoot FinCorp,4.5,(13.3k),NBFC | Bengaluru +1125 other locations
Flipkart,3.9,(13.2k),Internet | Bengaluru +558 other locations
PwC,3.3,(12.9k),Management Consulting | Bengaluru +137 other locations
HDFC Life,3.8,(12.3k),Insurance | Mumbai +719 other locations
Mahindra & Mahindra,4.0,(12.3k),Automobile | Pune +569 other locations
Infosys BPM,3.5,(12.2k),BPO | Bengaluru +95 other locations
DXC Technology,3.6,(12.2k),IT Services & Consulting | Bengaluru +131 other locations
Bandhan Bank,3.7,(11.4k),Banking | Kolkata +1019 other locations
Digitide Solutions,3.5,(10.5k),IT Services & Consulting | Hyderabad +275 other locations
Yes Bank,3.7,(10.4k),Banking | Mumbai +544 other locations
Mphasis,3.3,(10.4k),IT Services & Consulting | Bengaluru +63 other locations
Tata Steel,4.0,(10.1k),Iron & Steel | Jamshedpur +228 other locations
Quess,3.8,(9.9k),Recruitment | Bengaluru +764 other locations
Asian Paints,3.9,(9.8k),Chemicals | Mumbai +560 other locations
Startek,3.0,(9.7k),BPO | Bengaluru +104 other locations
UltraTech Cement,4.1,(9.7k),Building Material | Mumbai +544 other locations
Maruti Suzuki,4.1,(9.7k),Automobile | Gurugram +459 other locations
Paytm,3.2,(9.5k),FinTech | Noida +428 other locations
Bajaj Finance,3.9,(9.4k),NBFC | Pune +1007 other locations
Shriram Finance,3.9,(9.3k),NBFC | Chennai +1126 other locations
Sutherland Global Services,3.4,(9.2k),BPO | Chennai +82 other locations
Equitas Small Finance Bank,4.3,(9k),Banking | Chennai +486 other locations
Coforge,3.3,(9k),IT Services & Consulting | Hyderabad +113 other locations
Wells Fargo,3.6,(8.9k),Financial Services | Bengaluru +27 other locations
Cipla,4.1,(8.7k),Pharma | Mumbai +296 other locations
EXL Service,3.6,(8.7k),Analytics & KPO | Noida +62 other locations
Ericsson,3.9,(8.5k),Telecom | Noida +161 other locations
Samsung,3.9,(8.4k),Consumer Electronics & Appliances | Noida +582 other locations
Dr. Reddy's,4.0,(8.3k),Pharma | Hyderabad +216 other locations
Optum Global Solutions,4.0,(8.1k),IT Services & Consulting | Hyderabad +69 other locations
JSW Steel,3.9,(8.1k),Iron & Steel | Ballari +200 other locations
Delhivery,3.8,(8k),Logistics | Gurugram +767 other locations
JPMorgan Chase & Co.,3.8,(7.9k),Financial Services | Bengaluru +56 other locations
ICICI Prudential Life Insurance,3.9,(7.9k),Insurance | Mumbai +513 other locations
Hexaware Technologies,3.4,(7.8k),IT Services & Consulting | Chennai +71 other locations
Ujjivan Small Finance Bank,4.0,(7.8k),Banking | Bengaluru +546 other locations
Sun Pharmaceutical Industries,4.0,(7.8k),Pharma | Vadodara +265 other locations
